Name,ISO3,Total Response Received,Total Capacity Received,Total Disbursed Received,Total Response Disbursed,Total Capacity Disbursed,Total Disbursed
Guinea Bissau,GNB,27428032,238108846,265536879,11831789,0,11831789
Guyana,GUY,82365410,52665118,135030528,50363,0,50363
Haiti,HTI,135077638,1525735368,1660813006,,,
Holy See,VAT,,,,131720,0,131720
Honduras,HND,110201638,517811309,628012947,,,
Hungary,HUN,17,1058523,1058540,862578,0,862578
Iceland,ISL,,,,204290,0,204290
India,IND,3368965099,5795950168,9164915267,10500000,0,10500000
Indonesia,IDN,3513277307,1444921755,4958199061,1000000,0,1000000
Iran,IRN,185291721,69816169,255107889,51793834,0,51793834
Iraq,IRQ,204280060,205396151,409676211,,,
Ireland,IRL,25,77482,77507,43904814,155236498,199141312
Israel,ISR,4157,21024905,21029062,8793267,0,8793267
Italy,ITA,3580595,2186373,5766968,39945193,448816374,488761566
Jamaica,JAM,93734417,181949611,275684028,,,
Japan,JPN,6530,328492,335022,219355509,444945578,664301087
Jersey,JEY,,,,,,
Jordan,JOR,237237086,678074684,915311770,,,
Kazakhstan,KAZ,1119415962,198060922,1317476884,50000,0,50000
Kenya,KEN,651887281,6172321496,6824208777,,,
Kiribati,KIR,14674471,34323975,48998446,,,
Kosovo,XKX,88949684,65713161,154662845,,,
Kuwait,KWT,267300,722440,989740,90500000,0,90500000
Kyrgyzstan,KGZ,97823073,354232259,452055331,,,
Lao People's Democratic Republic,LAO,79103571,576366098,655469669,,,
Latvia,LVA,0,961857,961857,48876,0,48876
Lebanon,LBN,119881801,365537162,485418963,5562072,0,5562072
Lesotho,LSO,36860403,712169074,749029478,162912,0,162912
Liberia,LBR,717430634,1027547707,1744978341,1073696,0,1073696
Libya,LBY,33102699,80410893,113513593,480000,0,480000
Liechtenstein,LIE,,,,320513,0,320513
Lithuania,LTU,2961120,21212036,24173157,111765,0,111765
Luxembourg,LUX,,,,3937837,660000,4597837
Madagascar,MDG,170674865,1048363979,1219038845,3700000,0,3700000
Malawi,MWI,165312202,3688110624,3853422826,,,
Malaysia,MYS,6505786,29601131,36106917,100000,0,100000
Maldives,MDV,64800903,13656185,78457089,,,
Mali,MLI,213895343,1712737137,1926632480,1106717,0,1106717
Malta,MLT,0,6800,6800,122032,0,122032
Marshall Islands,MHL,11674955,4128565,15803520,,,
Mauritania,MRT,95491388,181509350,277000737,933169,0,933169
Mauritius,MUS,587324282,20299706,607623988,20000,0,20000
Mexico,MEX,11294378,1466259638,1477554016,1600000,0,1600000
Monaco,MCO,,,,474813,0,474813
Mongolia,MNG,311039744,160648506,471688250,,,
Montenegro,MNE,57345323,4312705,61658028,5000,0,5000
Morocco,MAR,600585631,611687442,1212273073,,,
Mozambique,MOZ,431572686,5292551263,5724123949,,,
Myanmar,MMR,151846506,2373105046,2524951552,,,
Namibia,NAM,10354199,557882491,568236690,,,
Nauru,NRU,1354389,16718010,18072399,,,
Nepal,NPL,561833303,1354992619,1916825922,,,
Netherlands,NLD,6666021,29372247,36038269,444245802,3919776716,4364022518
New Zealand,NZL,3189638,1683638,4873276,297715389,222861486,520576876
Nicaragua,NIC,94226320,552676579,646902899,,,
Niger,NER,253313472,1186772970,1440086442,,,
Nigeria,NGA,2477054950,9485081236,11962136186,,,
Niue,NIU,14196182,4449864,18646046,,,
North Macedonia,MKD,94383027,22448212,116831239,,,
Norway,NOR,0,27060,27060,259879365,1131397698,1391277063
Oman,OMN,0,3713972,3713972,,,
Pakistan,PAK,3002198646,4100936114,7103134760,,,
Palau,PLW,36286962,1856063,38143025,,,
Palestine,PSE,183444773,466708995,650153769,,,
Panama,PAN,22073586,127055862,149129448,,,
Papua New Guinea,PNG,315451559,1256981949,1572433508,,,
Paraguay,PRY,33818015,116324113,150142128,,,
Peru,PER,26276892,220906681,247183573,48479,0,48479
Philippines,PHL,3404240615,816583592,4220824206,3500895,0,3500895
Poland,POL,0,1006212,1006212,146317,0,146317
Portugal,PRT,,,,1087466,0,1087466
Qatar,QAT,0,172043,172043,1000000,0,1000000
Republic of Korea,KOR,15600,3853,19453,206051633,190066202,396117835
Republic of Moldova,MDA,62155790,128590806,190746596,,,
Romania,ROU,356060,287456639,287812699,240000,0,240000
Russian Federation,RUS,962289,25772120,26734409,1436210,1050000,2486210
Rwanda,RWA,306894822,1874832647,2181727469,,,
Saint Kitts and Nevis,KNA,0,447811,447811,,,
Saint Lucia,LCA,31249471,32855477,64104948,,,
Saint Martin,MAF,0,78742,78742,,,
Saint Vincent and the Grenadines,VCT,724751,13416292,14141044,,,
Samoa,WSM,42250480,45623850,87874330,,,
San Marino,SMR,0,78742,78742,,,
Sao Tome and Principe,STP,21431363,36255745,57687108,3329579,0,3329579
Saudi Arabia,SAU,1897,20207680,20209576,163000000,0,163000000
Senegal,SEN,129028450,1160780786,1289809237,,,
Serbia,SRB,75118487,78299377,153417864,2303753,0,2303753
Seychelles,SYC,13300164,3532618,16832782,,,
Sierra Leone,SLE,623099167,1737034250,2360133417,,,
Singapore,SGP,13376,13301,26677,950000,0,950000
Sint Maarten,SXM,7277146,77359,7354505,,,
Slovakia,SVK,0,935879,935879,436312,5979087,6415399
Slovenia,SVN,0,840324,840324,574503,134836,709339
Solomon Islands,SLB,51232819,156166590,207399409,,,
Somalia,SOM,221356345,1521975776,1743332121,,,
South Africa,ZAF,130008679,5669190812,5799199491,325725,0,325725
South Sudan,SSD,454622860,2197712654,2652335514,,,
Spain,ESP,0,1064042,1064042,107381972,222720483,330102455
Sri Lanka,LKA,403688977,196188889,599877866,,,
Sudan,SDN,273475259,1256149183,1529624442,,,
Suriname,SUR,6820544,20961836,27782380,,,
Sweden,SWE,479998,1660123,2140122,1737751454,1148627335,2886378789
Switzerland,CHE,402249,334310289,334712538,257754639,549779655,807534294
Syrian Arab Republic,SYR,217718663,345351155,563069818,,,
Taiwan,TWN,6612,0,6612,,,
Tajikistan,TJK,88498459,364607238,453105697,,,
Thailand,THA,1518886480,295292055,1814178535,302905,0,302905
Timor-Leste,TLS,32539280,200021296,232560576,,,
Togo,TGO,122609703,574299591,696909293,1581,0,1581
Tonga,TON,31742245,42289869,74032115,,,
Trinidad and Tobago,TTO,242252,40108316,40350568,,,
Tunisia,TUN,165635199,95219748,260854948,,,
Turkey,TUR,164794805,813082621,977877426,1500000,1500000,3000000
Turkmenistan,TKM,18940512,32857773,51798285,,,
Tuvalu,TUV,6380628,8756562,15137190,,,
Uganda,UGA,496982481,5880695826,6377678308,,,
Ukraine,UKR,426397253,746731526,1173128778,,,
United Arab Emirates,ARE,0,346590,346590,,,
United Kingdom,GBR,11896880,220693032,232589912,1845943382,10105821850,11951765232
United Republic of Tanzania,TZA,220599736,6370563854,6591163591,,,
United States of America,USA,1440466,33879885,35320351,6065184964,69110924022,75176108986
Uruguay,URY,19352875,10676810,30029685,,,
Uzbekistan,UZB,711726138,523617737,1235343875,,,
Vanuatu,VUT,27541111,75075377,102616487,,,
"Venezuela, Bolivarian Republic of",VEN,57335414,25992470,83327885,5000000,0,5000000
Viet Nam,VNM,502104585,1268363466,1770468051,,,
Wallis and Futuna,WLF,0,597198,597198,,,
Western Sahara,SAH,2684397,7016906,9701304,,,
Yemen,YEM,234850236,1984838540,2219688775,20000000,0,20000000
Zambia,ZMB,142135533,4138725032,4280860565,,,
Zimbabwe,ZWE,189592826,3741404171,3930996997,,,
